Album,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Un Verano Sin Ti,Moscow Mule,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968
Un Verano Sin Ti,Despues de la Playa,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293
Un Verano Sin Ti,Me Porto Bonito,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
Un Verano Sin Ti,Titi Me Pregunto,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672
Un Verano Sin Ti,Un Ratito,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05
Un Verano Sin Ti,Yo No Soy Celoso,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004
Un Verano Sin Ti,Tarot,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011
Un Verano Sin Ti,Neverita,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016
Un Verano Sin Ti,La Corriente,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12
Un Verano Sin Ti,Efecto,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
Un Verano Sin Ti,Party,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013
Un Verano Sin Ti,Aguacero,0.861,0.645,6,-6.96,0,0.0743,0.423,0.000592,0.349,0.668,121.391
Un Verano Sin Ti,Enseniaame a Bailar,0.81,0.789,8,-5.08,1,0.0846,0.191,1.08e-05,0.467,0.77,105.009
Un Verano Sin Ti,Ojitos Lindos,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928
Un Verano Sin Ti,Dos Mil 16,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058
Un Verano Sin Ti,El Apagon,0.629,0.698,8,-4.485,1,0.308,0.0509,0.00166,0.0909,0.599,117.765
Un Verano Sin Ti,Otro Atardecer,0.777,0.595,2,-6.79,1,0.0375,0.59,0.00139,0.0669,0.546,108.02
Un Verano Sin Ti,Un Coco,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991
Un Verano Sin Ti,Andrea,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071
Un Verano Sin Ti,Me Fui de Vacaciones,0.714,0.645,10,-5.493,1,0.0514,0.229,0.00083,0.0942,0.434,85.046
Un Verano Sin Ti,Un Verano Sin Ti,0.503,0.496,5,-9.123,0,0.0556,0.693,0.0,0.123,0.412,187.844
Un Verano Sin Ti,Agosto,0.849,0.584,1,-8.195,0,0.115,0.0929,6.18e-06,0.492,0.724,115.018
